fid,mtype,exprstr,mention,tokens,type_tokens,tags
6327106306a69a3f488d7cab_f_4_1_0,SCAL,d(t),the real - valued function,"['d', '(', 't', ')']","['unary', '__ANON_1', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN']","['calculus', 'geometry', 'euclidean-geometry']"
6327106306a69a3f488d7da8_f_1_6_0,FUNC,f,the level function,['f'],"['func_name', '__ANON_1']","['calculus', 'differential-geometry', 'euclidean-geometry', 'analytic-geometry', 'multivariable-calculus']"
6327106306a69a3f488d7da8_f_1_10_0,FUNC,f,functions,['f'],"['func_name', '__ANON_1']","['calculus', 'differential-geometry', 'euclidean-geometry', 'analytic-geometry', 'multivariable-calculus']"
6327106306a69a3f488d850b_f_0_0_0,FUNC,f,a function,['f'],"['func_name', '__ANON_1']","['real-analysis', 'functions', 'euclidean-geometry', 'convex-analysis']"
6327106306a69a3f488d850b_f_0_4_0,FUNC,f,the function,['f'],"['func_name', '__ANON_1']","['real-analysis', 'functions', 'euclidean-geometry', 'convex-analysis']"
6327106306a69a3f488d850b_f_0_5_0,FUNC,f,the function,['f'],"['func_name', '__ANON_1']","['real-analysis', 'functions', 'euclidean-geometry', 'convex-analysis']"
6327106306a69a3f488d850b_f_3_0_0,FUNC,"f(x,y)=-(x^2+1)(y^2+1)",The function,"['f', '(', 'x', ',', 'y', ')', '=', '-', '(', 'x', '^', '2', '+', '1', ')', '(', 'y', '^', '2', '+', '1', ')']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', 'func_arg', '__ANON_1', 'COMMA', '__ANON_1', 'R_PAREN', 'EQUAL', 'unary', 'SUB', 'unary', 'group', 'L_PAREN', 'additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'expr_atom', '__ANON_3', 'R_PAREN', 'group', 'L_PAREN', 'additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'expr_atom', '__ANON_3', 'R_PAREN']","['real-analysis', 'functions', 'euclidean-geometry', 'convex-analysis']"
6327106406a69a3f488d8981_f_2_44_0,FUNC,g,the function,['g'],"['func_name', '__ANON_1']","['geometry', 'big-list', 'euclidean-geometry', 'axioms']"
6327106406a69a3f488d8981_f_2_45_0,SCAL,0,the number   f_2_45_0,0,"['expr_atom', '__ANON_3']","['geometry', 'big-list', 'euclidean-geometry', 'axioms']"
6327106406a69a3f488d8981_f_2_47_0,SCAL,180,the number,"['1', '8', '0']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3']","['geometry', 'big-list', 'euclidean-geometry', 'axioms']"
632f9087837ac920af68489a_f_0_12_0,FUNC,A,that our function,['A'],"['func_name', '__ANON_0']","['geometry', 'measure-theory', 'euclidean-geometry']"
632f9089837ac920af68520d_f_0_3_0,FUNC,f:L\rightarrow \mathbb R,a smooth function   f_0_3_0,"['f', ':', 'L', '\\rightarrow', '\\mathbb', 'R']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', 'SET_FAT', '__ANON_0']","['differential-geometry', 'euclidean-geometry', 'riemannian-geometry', 'surfaces']"
632f971c837ac920af686124_f_1_0_0,SCAL,3,the specific numbers,3,"['expr_atom', '__ANON_3']","['contest-math', 'euclidean-geometry', 'circles']"
6327106706a69a3f488dad58_f_1_32_0,SCAL,n^2+1,a constant times,"['n', '^', '2', '+', '1']","['additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'expr_atom', '__ANON_3']","['geometry', 'euclidean-geometry', 'conic-sections', 'plane-curves']"
6327106706a69a3f488dad58_f_1_46_0,SCAL,n^2+1,a constant times   f_1_46_0,"['n', '^', '2', '+', '1']","['additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'expr_atom', '__ANON_3']","['geometry', 'euclidean-geometry', 'conic-sections', 'plane-curves']"
6327106706a69a3f488dad77_f_2_18_0,SCAL,1,complex absolute value   f_2_18_0,1,"['expr_atom', '__ANON_3']","['euclidean-geometry', 'rotations']"
6327106706a69a3f488db123_f_2_37_0,FUNC,h,a function,['h'],"['func_name', '__ANON_1']","['geometry', 'trigonometry', 'euclidean-geometry']"
632f9722837ac920af688570_f_0_5_0,FUNC,n,which   f_0_4_0   maps,['n'],"['func_name', '__ANON_1']","['linear-algebra', 'reference-request', 'euclidean-geometry', 'riemannian-geometry', 'exterior-algebra']"
6327106806a69a3f488dbfc1_f_0_0_0,FUNC,"f: [0,1] \rightarrow \mathbb{R}^2",a continuous map,"['f', ':', '[', '0', ',', '1', ']', '\\rightarrow', '\\mathbb{R}', '^', '2']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'interval', 'L_BRACKET', 'expr_atom', '__ANON_3', 'COMMA', 'expr_atom', '__ANON_3', 'R_BRACKET', 'TO', 'set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3']","['general-topology', 'euclidean-geometry']"
6327106806a69a3f488dbfc1_f_0_6_0,FUNC,f,a Jordan map   f_0_6_0,['f'],"['func_name', '__ANON_1']","['general-topology', 'euclidean-geometry']"
6327106806a69a3f488dbfc1_f_0_23_0,FUNC,f:\mathbb{R}\rightarrow \mathbb{R}^2,an injective   continuous map,"['f', ':', '\\mathbb{R}', '\\rightarrow', '\\mathbb{R}', '^', '2']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3']","['general-topology', 'euclidean-geometry']"
632fc631837ac920af6d6fca_f_1_34_0,SCAL,-(n-1),the values,"['-', '(', 'n', '-', '1', ')']","['unary', 'SUB', 'group', 'L_PAREN', 'additive', '__ANON_1', 'SUB', 'expr_atom', '__ANON_3', 'R_PAREN']","['geometry', 'discrete-mathematics', 'euclidean-geometry', 'discrete-geometry']"
6327106906a69a3f488dcb17_f_1_0_0,FUNC,f,the function,['f'],"['func_name', '__ANON_1']","['euclidean-geometry', 'analytic-geometry', 'plane-curves']"
6327106906a69a3f488dcb17_f_2_14_0,FUNC,f,a function,['f'],"['func_name', '__ANON_1']","['euclidean-geometry', 'analytic-geometry', 'plane-curves']"
6327106906a69a3f488dd022_f_1_11_0,SCAL,4 ,The numbers,4,"['expr_atom', '__ANON_3']","['combinatorics', 'group-theory', 'euclidean-geometry', 'finite-groups']"
6327106906a69a3f488dd022_f_1_26_0,SCAL,16 ,The numbers,"['1', '6']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","['combinatorics', 'group-theory', 'euclidean-geometry', 'finite-groups']"
6327106906a69a3f488dd022_f_1_29_0,SCAL,32 ,The numbers,"['3', '2']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","['combinatorics', 'group-theory', 'euclidean-geometry', 'finite-groups']"
6327106a06a69a3f488ddcfe_f_1_0_0,FUNC,f: \mathbb{Z} \to \mathbb{Z},the map,"['f', ':', '\\mathbb{Z}', '\\to', '\\mathbb{Z}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_constant', 'SET_BASIC']","['linear-algebra', 'abstract-algebra', 'euclidean-geometry', 'analytic-geometry']"
632fc631837ac920af6d75c9_f_1_9_0,SCAL,1.1294,the value   f_1_9_0,[],"['expr_atom', 'number']","['geometry', 'euclidean-geometry', 'triangles', 'circles']"
6327106b06a69a3f488de470_f_1_20_0,FUNC,P,", mapping   f_1_20_0",['P'],"['func_name', '__ANON_0']","['geometry', 'euclidean-geometry', 'triangles', 'circles', 'sangaku']"
632f9726837ac920af68a369_f_1_13_0,FUNC,I,the regularized incomplete beta function,['I'],"['func_name', '__ANON_0']","['geometry', 'euclidean-geometry']"
632fc632837ac920af6d7723_f_1_13_0,FUNC,M,  f_1_12_0   maps,['M'],"['func_name', '__ANON_0']","['geometry', 'euclidean-geometry', 'analytic-geometry']"
6327106b06a69a3f488de788_f_0_2_0,FUNC,g,a polynomial function,['g'],"['func_name', '__ANON_1']","['linear-algebra', 'algebraic-geometry', 'euclidean-geometry', 'quaternions']"
632fcd11837ac920af6d8c0f_f_2_35_0,SET,"\{i,j,k\}","But , the sets","['\\{', 'i', ',', 'j', ',', 'k', '\\}']","['explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_1', 'COMMA', 'item', '__ANON_1', 'COMMA', 'item', '__ANON_1', 'R_BRACE_LITERAL']","['euclidean-geometry', 'triangles', 'plane-geometry', 'polygons']"
63271c3406a69a3f488e2100_f_6_0_0,SET,\mathbb P,the set   f_6_0_0,"['\\mathbb', 'P']","['SET_FAT', '__ANON_0']","['euclidean-geometry', 'noneuclidean-geometry']"
63271c3606a69a3f488e348c_f_1_0_0,SCAL,3,The numbers,3,"['expr_atom', '__ANON_3']","['geometry', 'euclidean-geometry']"
63271c3d06a69a3f488e79f1_f_2_7_0,FUNC,T:V\to V,the linear map,"['T', ':', 'V', '\\to', 'V']","['func_def', 'func_name', '__ANON_0', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","['linear-algebra', 'abstract-algebra', 'euclidean-geometry']"
63271c4006a69a3f488e9af2_f_1_2_0,FUNC,A: X \rightarrow Y,", and a linear map","['A', ':', 'X', '\\rightarrow', 'Y']","['func_def', 'func_name', '__ANON_0', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","['real-analysis', 'continuity', 'euclidean-geometry', 'normed-spaces']"
63271c4006a69a3f488e9af2_f_1_10_0,FUNC,A,the map,['A'],"['func_name', '__ANON_0']","['real-analysis', 'continuity', 'euclidean-geometry', 'normed-spaces']"
632f9d9a837ac920af6907a2_f_0_0_0,FUNC,g,the map,['g'],"['func_name', '__ANON_1']","['geometry', 'euclidean-geometry', 'isometry']"
632f9d9c837ac920af691430_f_0_13_0,FUNC,R,some map,['R'],"['func_name', '__ANON_0']","['linear-algebra', 'geometry', 'euclidean-geometry', 'isometry', 'orthogonal-matrices']"
632f9d9c837ac920af691430_f_1_38_0,FUNC,u,the mapping,['u'],"['func_name', '__ANON_1']","['linear-algebra', 'geometry', 'euclidean-geometry', 'isometry', 'orthogonal-matrices']"
632f9d9c837ac920af691644_f_1_0_0,FUNC,f,a map,['f'],"['func_name', '__ANON_1']","['geometry', 'euclidean-geometry', 'projective-geometry']"
632ffdd1837ac920af723b7e_f_1_0_0,FUNC,T,a linear map,['T'],"['func_name', '__ANON_0']","['general-topology', 'functional-analysis', 'euclidean-geometry']"
632fcd1a837ac920af6dcc28_f_2_3_0,SCAL,0,number,0,"['expr_atom', '__ANON_3']","['geometry', 'trigonometry', 'complex-numbers', 'vectors', 'euclidean-geometry']"
6327307106a69a3f488f2940_f_0_10_0,SET,L(r),the set,"['L', '(', 'r', ')']","['__ANON_0', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN']","['geometry', 'euclidean-geometry']"
6327307406a69a3f488f3dfa_f_0_1_0,SET,\mathbb{R}^2,all the finite sets,"['\\mathbb{R}', '^', '2']","['set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3']","['geometry', 'euclidean-geometry']"
632fcd1c837ac920af6dd817_f_1_13_0,SCAL,k+1,the number,"['k', '+', '1']","['additive', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3']","['geometry', 'euclidean-geometry', 'machine-learning']"
632fcd1e837ac920af6de784_f_2_34_0,FUNC,Y,and   f_2_33_0   map,['Y'],"['func_name', '__ANON_0']","['general-topology', 'group-theory', 'euclidean-geometry']"
632fcd1e837ac920af6de784_f_2_48_0,FUNC,Z,maps,['Z'],"['func_name', '__ANON_0']","['general-topology', 'group-theory', 'euclidean-geometry']"
632f9d9f837ac920af692929_f_0_2_0,FUNC,f:P\to L,a bijective map,"['f', ':', 'P', '\\to', 'L']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","['geometry', 'contest-math', 'euclidean-geometry', 'projective-geometry']"
632f5f37837ac920af63435f_f_0_2_0,FUNC,F: P \to P,an isometry,"['F', ':', 'P', '\\to', 'P']","['func_def', 'func_name', '__ANON_0', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","['euclidean-geometry', 'isometry']"
632f5f37837ac920af63435f_f_0_7_0,FUNC,F,the function,['F'],"['func_name', '__ANON_0']","['euclidean-geometry', 'isometry']"
632f5f37837ac920af63435f_f_0_15_0,FUNC,f:\mathbb R\to\mathbb R,a function   f_0_15_0,"['f', ':', '\\mathbb', 'R', '\\to', '\\mathbb', 'R']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'SET_FAT', '__ANON_0', 'TO', 'SET_FAT', '__ANON_0']","['euclidean-geometry', 'isometry']"
632ffdd6837ac920af725eb8_f_1_59_0,FUNC,f,The projection function,['f'],"['func_name', '__ANON_1']","['geometry', 'euclidean-geometry', 'simplex']"
632f5f3a837ac920af6350a6_f_0_15_0,SCAL,m/n,the same rational numbers,"['m', '/', 'n']","['mp', '__ANON_1', 'DIV', '__ANON_1']","['real-analysis', 'geometry', 'euclidean-geometry', 'math-history', 'real-numbers']"
632f9da0837ac920af693427_f_1_2_0,SCAL,0,a minimal value,0,"['expr_atom', '__ANON_3']","['calculus', 'euclidean-geometry', 'triangles', 'volume', 'lagrange-multiplier']"
632f9da0837ac920af693427_f_1_21_0,SCAL,0,a minimal value,0,"['expr_atom', '__ANON_3']","['calculus', 'euclidean-geometry', 'triangles', 'volume', 'lagrange-multiplier']"
632f5f3a837ac920af6350d2_f_0_15_0,SCAL,m/n,the same rational numbers,"['m', '/', 'n']","['mp', '__ANON_1', 'DIV', '__ANON_1']","['real-analysis', 'geometry', 'euclidean-geometry', 'math-history', 'real-numbers']"
632f5f3a837ac920af635367_f_0_3_0,SET,\mathbb{N},the set,\mathbb{N},"['set_constant', 'SET_BASIC']","['combinatorics', 'geometry', 'hilbert-spaces', 'euclidean-geometry', 'combinatorial-geometry']"
632f9da1837ac920af693732_f_2_2_0,FUNC,K,an affine invertible map,['K'],"['func_name', '__ANON_0']","['geometry', 'euclidean-geometry', 'polyhedra', 'polytopes']"
632f5f3b837ac920af635637_f_3_1_0,FUNC,"g:[c,d]\rightarrow\mathbb{R}",a function   f_3_1_0,"['g', ':', '[', 'c', ',', 'd', ']', '\\rightarrow', '\\mathbb{R}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'interval', 'L_BRACKET', '__ANON_1', 'COMMA', '__ANON_1', 'R_BRACKET', 'TO', 'set_constant', 'SET_BASIC']","['proof-writing', 'euclidean-geometry']"
632f5f3b837ac920af635681_f_0_7_0,FUNC,S:X\rightarrow X,    Edit     A mapping,"['S', ':', 'X', '\\rightarrow', 'X']","['func_def', 'func_name', '__ANON_0', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","['linear-algebra', 'euclidean-geometry']"
632f9da2837ac920af693bd5_f_2_34_0,FUNC,f,an increasing function,['f'],"['func_name', '__ANON_1']","['geometry', 'trigonometry', 'euclidean-geometry']"
632f9da2837ac920af693bd5_f_2_41_0,FUNC,f,our function   f_2_41_0,['f'],"['func_name', '__ANON_1']","['geometry', 'trigonometry', 'euclidean-geometry']"
632f9da2837ac920af693cce_f_3_3_0,FUNC,x,this function,['x'],"['func_name', '__ANON_1']","['geometry', 'euclidean-geometry', 'maxima-minima', 'geometric-inequalities']"
632fcd21837ac920af6dfa21_f_1_8_0,SET,\mathbb R^n,any bounded subset,"['\\mathbb', 'R', '^', 'n']","['SET_FAT', '__ANON_0', 'CARET', '__ANON_1']","['linear-algebra', 'multivariable-calculus', 'euclidean-geometry', 'definition', 'intuition']"
632f5f3d837ac920af6360d1_f_0_7_0,FUNC,y,the function,['y'],"['func_name', '__ANON_1']","['calculus', 'geometry', 'limits', 'derivatives', 'euclidean-geometry']"
632f9da2837ac920af693cce_f_3_9_0,SCAL,f(3),the minimal value,"['f', '(', '3', ')']","['unary', '__ANON_1', 'group', 'L_PAREN', 'expr_atom', '__ANON_3', 'R_PAREN']","['geometry', 'euclidean-geometry', 'maxima-minima', 'geometric-inequalities']"
632f5f3f837ac920af636b9f_f_1_29_0,SET,\mathbb{N}^C,an uncountable set,"['\\mathbb{N}', '^', 'C']","['set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_0']","['combinatorics', 'euclidean-geometry']"
632f5f3f837ac920af636d79_f_0_5_0,FUNC,f,the function,['f'],"['func_name', '__ANON_1']","['euclidean-geometry', 'linear-transformations']"
632f5f3f837ac920af636d79_f_0_7_0,FUNC,f,the function,['f'],"['func_name', '__ANON_1']","['euclidean-geometry', 'linear-transformations']"
632f5f3f837ac920af636d79_f_1_2_0,FUNC,f,a function,['f'],"['func_name', '__ANON_1']","['euclidean-geometry', 'linear-transformations']"
632ffdd9837ac920af727109_f_1_37_0,SCAL,s^3,the numbers,"['s', '^', '3']","['exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3']","['trigonometry', 'prime-numbers', 'euclidean-geometry', 'math-software', 'ratio']"
632f5f3f837ac920af636d79_f_3_4_0,SCAL,a+ ib,the complex number,"['a', '+', 'i', 'b']","['additive', '__ANON_1', 'ADD', 'unary', '__ANON_1', '__ANON_1']","['euclidean-geometry', 'linear-transformations']"
632f5f3f837ac920af636d79_f_3_6_0,FUNC,f,the function,['f'],"['func_name', '__ANON_1']","['euclidean-geometry', 'linear-transformations']"
632ffdd9837ac920af727109_f_1_231_0,SCAL,11^{5/2},each the absolute value   f_1_231_0,"['1', '1', '^', '{', '5', '/', '2', '}']","['exp', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', 'CARET', 'L_BRACE', 'mp', 'expr_atom', '__ANON_3', 'DIV', 'expr_atom', '__ANON_3', 'R_BRACE']","['trigonometry', 'prime-numbers', 'euclidean-geometry', 'math-software', 'ratio']"
632f5f42837ac920af637bbb_f_0_0_0,FUNC,d: X\times X \to \mathbb{R},a function,"['d', ':', 'X', '\\times', 'X', '\\to', '\\mathbb{R}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', '__ANON_0', 'sets__OP_CART', '__ANON_0', 'TO', 'set_constant', 'SET_BASIC']","['general-topology', 'metric-spaces', 'euclidean-geometry']"
632f5f42837ac920af637bbb_f_3_26_0,FUNC,d: X\times Y\to \mathbb R,a function   f_3_26_0,"['d', ':', 'X', '\\times', 'Y', '\\to', '\\mathbb', 'R']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', '__ANON_0', 'sets__OP_CART', '__ANON_0', 'TO', 'SET_FAT', '__ANON_0']","['general-topology', 'metric-spaces', 'euclidean-geometry']"
632f5f43837ac920af638013_f_1_0_0,SCAL,4 ,numbers,4,"['expr_atom', '__ANON_3']","['geometry', 'euclidean-geometry', 'quadrilateral']"
632f5f45837ac920af638b54_f_0_4_0,FUNC,f:X \rightarrow X,a mapping,"['f', ':', 'X', '\\rightarrow', 'X']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","['geometry', 'functions', 'euclidean-geometry', 'transformation']"
632f5f45837ac920af638b54_f_0_7_0,FUNC,f:X \rightarrow X,a mapping,"['f', ':', 'X', '\\rightarrow', 'X']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","['geometry', 'functions', 'euclidean-geometry', 'transformation']"
632f5f46837ac920af638f82_f_1_17_0,FUNC,A,this map,['A'],"['func_name', '__ANON_0']","['group-theory', 'analysis', 'geometry', 'euclidean-geometry']"
632f5f46837ac920af639232_f_0_12_0,SCAL,2,The number,2,"['expr_atom', '__ANON_3']","['euclidean-geometry', 'standard-deviation']"
632f9da8837ac920af6968ef_f_1_8_0,FUNC,p,the Minkowski functional,['p'],"['func_name', '__ANON_1']","['geometry', 'convex-analysis', 'euclidean-geometry', 'convex-geometry']"
632f9da8837ac920af6968ef_f_1_28_0,FUNC,l,the continuous function,['l'],"['func_name', '__ANON_1']","['geometry', 'convex-analysis', 'euclidean-geometry', 'convex-geometry']"
